origin,dest,count
1111,83034,21.767728
1111,84043,88.0041807
1111,85045,60.5157572
1111,85046,203.357477
1111,91034,14.396597
1111,10042115,25.6554577
2011,1011,91.6231644
2011,1041,111.889493
2011,1051,16.6923077
2011,1061,46.175
2011,1091,47.1188915
2011,1093,131.541558
2011,1101,4.84615385
2011,1111,68.0022998
2011,2011,6265.28608
2011,2012,732.908782
2011,2023,329.175
2011,2031,598.305921
2011,2033,221.6
2011,2034,81.0444444
2011,2041,349.21808
2011,2042,239.383929
2011,2043,117.355454
2011,2045,323.023297
2011,2051,73.4941566
2011,2061,343.703986
2011,2071,203.586623
2011,2081,126.381818
2011,2082,324.442835
2011,2091,44.3478261
2011,2092,64.15
2011,2101,10.35
2011,2111,196.99849
2011,2121,73.3509615
2011,2131,53.5909091
2011,2132,53.5909091
2011,2133,122.300073
2011,2141,167.68528
2011,3011,53.3076923
2011,3012,324.687238
2011,3013,59.9476923
2011,3014,127.329644
2011,3015,156.527273
2011,3016,48.4323169
2011,3017,88.7332589
2011,3019,708.008424
2011,3020,6.64
2011,3021,87.625
2011,3022,126.845995
2011,3023,158.455518
2011,3024,53.3076923
2011,4011,200.794705
2011,4021,106.814493
2011,4031,98.5077399
2011,4032,13.2666667
2011,4041,34.3478261
2011,4043,113.990476
2011,4051,69.6460982
2011,4061,34.3365385
2011,4071,68.0978261
2011,4081,125.763549
2011,4091,34.3478261
2011,5021,14.76
2011,5051,9.35714286
2011,5071,12.7894737
2011,7011,18.6791444
2011,7071,50.0833333
2011,8051,56.6679088
2011,8105,20.4323954
2011,8111,9.0625
2011,8131,8.17948718
2011,8141,21.3076923
2011,10071,12.1785714
2011,10111,6.17647059
2011,11021,8.46153846
2011,11031,5.58333333
2011,11051,107.549552
2011,11081,6.13043478
2011,12011,12.5384615
2011,12031,12
2011,12051,117.726168
2011,12061,7.23809524
2011,12091,9.33333333
2011,13011,10.9
2011,13031,147.384403
2011,13041,17.14
2011,13051,100.264375
2011,13061,15.5454545
2011,13071,24.7320574
2011,13081,22.530303
2011,13091,10.1111111
2011,54029,51.7419831
2011,54099,64.9137715
2011,54137,22.801267
2011,54138,23.2950296
2011,54270,43.4224431
2011,54323,152.289173
2011,54575,13.0169928
2011,55029,23.7028773
2011,55545,22.801267
2011,57022,23.2950296
2011,57038,40.6
2011,57076,22.0627945
2011,57203,23.2950296
2011,57227,82.3090499
2011,57463,169.426932
2011,57498,88.0673035
2011,57529,22.801267
2011,57531,44.7987741
2011,57565,44.7987741
2011,57672,353.885343
2011,57731,22.0627945
2011,57733,22.801267
2011,57764,111.259465
2011,62063,30.8434707
2011,63067,27.8798575
2011,81001,29.5389649
2011,81004,26.0576709
2011,81015,14.1900328
2011,85045,27.4828956
2011,88160,23.2950296
2011,7111001,59.4172399
2011,7211001,14.8923199
2011,7232018,87.0972192
2011,7232201,15.5735125
2011,7235062,50.5293682
2011,7235068,32.2025951
2011,7235094,19.7027271
2011,10042113,48.4899859
2011,10042115,55.4004283
2012,1041,6.55555556
2012,1061,8.3
2012,1071,56.2142857
2012,1081,127.014286
2012,1091,56.2142857
2012,1093,40.6794044
2012,2011,699.426732
2012,2012,3482.64019
2012,2031,539.914773
2012,2032,63.1818182
2012,2041,170.808333
2012,2042,337.563167
2012,2044,59.4518519
2012,2051,36.5989975
2012,2061,78.3809524
2012,2071,241.273779
2012,2081,40.4736842
2012,2082,38.25
2012,2091,60.0588235
2012,2092,69.0494456
2012,2111,80.1421569
2012,2131,40.5333333
2012,2132,40.6
2012,2141,148.086184
2012,3012,170.808333
2012,3014,178.187112
2012,3015,190.47639
2012,3017,237.638302
2012,3019,60.3027271
2012,3023,172.129942
2012,4011,22.801267
2012,4031,213.991919
2012,4032,70.8
2012,4043,128.107692
2012,4051,28.3544616
2012,4061,136.339286
2012,4081,165.2625
2012,5051,5.10526316
2012,5061,23.5
2012,6061,0
2012,7041,53.3076923
2012,7071,6.5
2012,7081,27.0323169
2012,8051,90.4625
2012,9021,5.84615385
2012,10011,6.41666667
2012,10111,22.801267
2012,11021,4.22222222
2012,12011,27.5
2012,13071,22.801267
2012,54323,20.4323954
2012,54580,22.0627945
2012,55545,22.801267
2012,57227,49.8335838
2012,57463,113.206965
2012,57498,20.4323954
2012,57529,56.5707784
2012,57650,73.1286134
2012,57672,100.183817
2012,57733,95.9263403
2012,57764,22.801267
2012,81003,12.7158005
2012,81004,14.4973187
2012,81015,14.4973187
2012,84043,27.8798575
2012,85046,46.6670301
2012,7232018,48.4477997
2012,10042113,14.8923199
2012,10042115,50.0833333
2021,1011,379.633662
2021,1031,181.444643
2021,1091,200.1875
2021,1093,128.666667
2021,1111,115.066181
2021,2021,6772.17047
2021,2022,448.724068
2021,2023,3347.27209
2021,2031,152.041667
2021,2032,127.1875
2021,2041,278.057065
2021,2042,398.52063
2021,2043,170.659091
2021,2044,167.890737
2021,2045,225.268623
2021,2051,11.415512
2021,2061,29.5384615
